Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Attachment,Attachment,Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Comments),Custom field (Customer segments),Custom field (Customer segments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Insights),Custom field (Issue colour),Custom field (Linked items),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Roadmap),Custom field (Score),Custom field (Start date),Custom field (State),Custom field (Team),Custom field (Theme),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
TC-04: Formun Kapatma Butonu (x) ile Kapatılması,TAS-77,10312,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:22 PM,17/Sep/26 2:31 PM,,17/Sep/26 2:31 PM,,0,,,"* *Ön Koşul:* Görev ekleme veya düzenleme formu açık olmalıdır.
* *Test Adımları:*
*# Form alanlarına yeni veriler girilir veya mevcut veriler değiştirilir.
*# Form üzerindeki kapatma butonuna ({{x}}) tıklanır.
* *Beklenen Sonuç:* Modal pencere hiçbir değişiklik kaydedilmeden kapanır ve kart verileri eski halinde kalır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cl:,,,,,,,,,10308,TAS-73,modül7 28--31,Done,17/Sep/26 2:31 PM
TC-03: Başarılı Görev Oluşturma / Düzenleme ve Hata Durumu,TAS-76,10311,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:21 PM,17/Sep/26 2:31 PM,,17/Sep/26 2:31 PM,,0,,,"* *Ön Koşul:* Görev ekleme veya düzenleme formu açık olmalıdır.
* *Test Adımları:*
*# Formdaki zorunlu alanlar doldurulur ve *""Add""* (veya düzenlemede *""Edit""*) butonuna tıklanır.
*# Alternatif olarak geçersiz/hatalı verilerle (veya sunucu hatası simüle edilerek) form gönderilir.
* *Beklenen Sonuç:*
** Başarılı durumda görev ilgili koleksiyona eklenir veya güncellenir.
** Hata durumunda kullanıcıya ilgili bildirim gösterilir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cn:,,,,,,,,,10308,TAS-73,modül7 28--31,Done,17/Sep/26 2:31 PM
TC-02: Görev Düzenleme (Edit card) Formunun Mevcut Verilerle Açılması,TAS-75,10310,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:21 PM,17/Sep/26 2:31 PM,17/Sep/26 2:30 PM,17/Sep/26 2:31 PM,,0,,,"* *Ön Koşul:* Sistemde daha önceden oluşturulmuş bir görev kartı bulunmalıdır.
* *Test Adımları:*
*# Görev üzerindeki düzenleme ({{Edit card}}) butonuna tıklanır.
*# Açılan formdaki Title, Description, öncelik ve tarih alanları incelenir.
* *Beklenen Sonuç:* Form, daha önce girilmiş olan mevcut verilerle dolu olarak açılır ve bu veriler kullanıcı tarafından değiştirilebilir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cz:,,,,,,,,,10308,TAS-73,modül7 28--31,Done,17/Sep/26 2:31 PM
TC-01: Görev Ekleme (Add card) Formu Elemanlarının ve Varsayılan Değerlerin Doğrulanması,TAS-74,10309,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:21 PM,17/Sep/26 2:30 PM,,17/Sep/26 2:30 PM,,0,,,"* *Ön Koşul:* Kullanıcı bir sütun altındaki ""Add another card"" butonuna tıklamış olmalıdır.
* *Test Adımları:*
*# Açılan ""Add card"" formunda kapatma butonunun ({{x}}), Title ve Description alanlarının varlığı kontrol edilir.
*# Öncelik seçenekleri incelenir; {{low}} (mavi), {{medium}} (kırmızı), {{high}} (yeşil) ve {{without}} (gri) seçeneklerinin yer aldığı doğrulanır.
*# Öncelik alanında varsayılan olarak gri ({{without}}) rengin seçili olduğu kontrol edilir.
*# Takvim alanından geçmiş bir tarih seçilmeye çalışılır ve bugünden itibaren seçim yapıldığı doğrulanır.
* *Beklenen Sonuç:* Tüm form elemanları eksiksiz yer alır, varsayılan öncelik gri renktedir ve geçmiş tarihler seçilemez.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cr:,,,,,,,,,10308,TAS-73,modül7 28--31,Done,17/Sep/26 2:30 PM
modül7 28--31,TAS-73,10308,Epic,To Do,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:20 PM,17/Sep/26 2:20 PM,,,,0,,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark_green,,,,0|i000cj:,,,,,,,,,,,,To Do,17/Sep/26 2:20 PM
Zil İkonunun (Deadline Uyarısı) Kartlar Arasında Tutarsız Gösterilmesi,TAS-72,10307,Bug,Bug,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:18 PM,17/Sep/26 2:19 PM,21/Sep/26 9:06 PM,,,0,,,"* *Hata Tanımı:* Son tarihi ({{Deadline}}) aynı gün olan görev kartlarında zil ikonunun görünürlüğü tutarsızlık göstermektedir. Bazı kartlarda zil ikonu görünürken, aynı tarihe sahip diğer kartlarda zil butonu tamamen eksiktir.
* *Beklenen Durum:* Son tarihi sistemin bugünkü tarihine eşit olan tüm görev kartlarında zil butonunun istisnasız olarak yer alması gerekir.
* *Mevcut Durum:* Aynı bitiş tarihine sahip bazı kartlarda zil ikonu eksik gelmektedir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,17/Sep/26 2:18 PM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-17 14.17.07.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10143,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cb:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,To Do,17/Sep/26 2:18 PM
TC-18: Sütun Altı Yeni Kart Ekleme Akışı,TAS-71,10306,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:11 PM,17/Sep/26 2:16 PM,17/Sep/26 2:15 PM,17/Sep/26 2:16 PM,,0,,,"* *Ön Koşul:* Kullanıcı panoda aktif bir sütun üzerinde bulunmalıdır.
* *Test Adımları:*
*# Sütun alt kısmında yer alan *""Add another card""* butonuna tıklanır.
*# Açılan kart ekleme arayüzünden gerekli bilgiler girilerek kart oluşturulur.
* *Beklenen Sonuç:* Yeni görev kartı ilgili sütunun içerisine başarılı bir şekilde eklenir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008u:i,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 2:16 PM
TC-17: Kart Silme ve Zil Uyarısı İşlevleri,TAS-70,10305,Task,In Review,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:11 PM,17/Sep/26 2:16 PM,17/Sep/26 2:16 PM,,,0,,,"* *Ön Koşul:* Son tarihi bugün olan bir görev kartı sistemde mevcut olmalıdır.
* *Test Adımları:*
*# Son tarihi bugün olan görev kartında *zil butonunun* aktif ve görünür olduğu kontrol edilir.
*# Kart üzerindeki *silme butonuna* tıklanarak görevin sistemden kaldırıldığı doğrulanır.
* *Beklenen Sonuç:* Zil butonu bugünün son tarih olduğunu belirtmek üzere düzgün görüntülenir ve silme butonu görevi başarıyla siler.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008t:i,,,,,,,,,10222,TAS-51,modül6 20 -- 27,To Do,17/Sep/26 2:11 PM
TC-16: Kart Taşıma ve Düzenleme İşlevleri,TAS-69,10304,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:10 PM,17/Sep/26 2:15 PM,17/Sep/26 2:14 PM,17/Sep/26 2:15 PM,,0,,,"* *Ön Koşul:* Sütun içinde etkileşime uygun bir görev kartı ve en az iki farklı sütun bulunmalıdır.
* *Test Adımları:*
*# Kart üzerindeki *taşıma butonuna* tıklanarak diğer grupların listelendiği açılır menünün açıldığı doğrulanır.
*# Kartı *düzenleme butonuna (*{{Edit card}}*)* tıklanarak modal pencerenin mevcut görevin verileriyle dolu ve düzenlenebilir şekilde açıldığı kontrol edilir.
* *Beklenen Sonuç:* Taşıma menüsü diğer grupları listeler ve düzenleme modalı mevcut görev verileriyle sorunsuz açılır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008u:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 2:15 PM
TC-15: Sütun Başlığı ve Görev Kartı Elemanlarının Doğrulanması (Madde 26),TAS-68,10303,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:10 PM,17/Sep/26 2:14 PM,17/Sep/26 2:13 PM,17/Sep/26 2:14 PM,,0,,,"* *Ön Koşul:* Sistemde en az bir sütun ve bu sütun içinde detaylı bir görev kartı bulunmalıdır.
* *Test Adımları:*
*# Sütun başlığı bloğunda; sütun adı, düzenleme ve silme ikonlarının görünürlüğü kontrol edilir.
*# Görev kartı üzerinde; başlık, sabit yükseklikte olup sığmadığında üç nokta ({{...}}) ile kesilen açıklama, renkli öncelik etiketi ve bitiş tarihi incelenir.
*# Sütun altındaki *""Add another card""* butonunun varlığı doğrulanır.
* *Beklenen Sonuç:* Tüm sütun başlığı bileşenleri ve görev kartı elemanları şartnameye uygun olarak eksiksiz görüntülenir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:9,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 2:14 PM
